speaker,text,start_time,end_time,cleaned_text,is_question,is_exclamation,contains_negation,contains_reference,contains_agreement,contains_disagreement,contains_emotion_words,contains_personal_attack,contains_group_identity,contains_emphasis,contains_conditional,sentence_length
TRUMP,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.",,,"excuse me. i got rid of the individual mandate, which was a big chunk of obamacare.",False,False,False,False,False,False,False,False,False,False,False,16
WALLACE,That’s not a comprehensive place.,,,that s not a comprehensive place.,False,False,True,False,False,True,False,False,False,False,False,6
TRUMP,That is absolutely a big thing. That was the worst part of Obamacare.,,,that is absolutely a big thing. that was the worst part of obamacare.,False,False,False,False,True,False,False,False,False,True,False,13
WALLACE,"I didn’t ask, sir.",,,"i didn t ask, sir.",False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,"Chris, that was the worst part of Obamacare.",,,"chris, that was the worst part of obamacare.",False,False,False,False,False,False,False,False,False,False,False,8
WALLACE,You’re debating him not me. Let me ask my question.,,,you re debating him not me. let me ask my question.,False,False,True,True,False,True,False,False,False,False,False,11
TRUMP,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.",,,"well, i ll ask joe. the individual mandate was the most unpopular aspect of obamacare.",False,False,False,False,False,False,False,False,False,False,False,15
WALLACE,Mr. President.,,,mr. president.,False,False,False,False,False,False,False,False,False,False,False,2
TRUMP,I got rid of it. And we will protect people.,,,i got rid of it. and we will protect people.,False,False,False,False,False,False,False,False,True,False,False,10
WALLACE,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",,,"mr. president, i m the moderator of this debate and i would you to let me ask my question and then you can answer.",False,False,False,True,False,False,False,False,False,False,False,24
TRUMP,Go ahead.,,,go ahead.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?",,,"you, in the course of these four years, have never come up with a comprehensive plan to replace obamacare, and just this last thursday you signed a largely symbolic executive order to protect people with pre-existing conditions five days before this debate. so my question, sir, is what is the trump healthcare plan?",True,False,True,True,False,True,False,False,False,False,False,53
TRUMP,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47-year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare.",,,"well, first of all, i guess i m debating you, not him, but that s okay. i m not surprised. let me just tell you something. there s nothing symbolic. i m cutting drug prices. i m going with favored nations, which no president has the courage to do because you re going against big pharma. drug prices will be coming down 80 or 90%. you could have done it during your 47-year period in government, but you didn t do it. nobody s done it. so we re cutting healthcare.",False,False,True,True,False,True,False,False,True,False,False,91
WALLACE,What about pre-existing conditions?,,,what about pre-existing conditions?,True,False,False,False,False,False,False,False,False,False,False,4
TRUMP,All of the things that we’ve done.,,,all of the things that we ve done.,False,False,False,False,False,False,False,False,True,False,False,8
BIDEN,He has not done healthcare.,,,he has not done healthcare.,False,False,True,True,False,True,False,False,False,False,False,5
TRUMP,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",,,"i ll give you an example. insulin, it was destroying families, destroying people, the cost. i m getting it for so cheap it s water, you want to know the truth. so cheap. take a look at all of the drugs that what we re doing. prescription drug prices, we re going to allow our governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",False,False,False,True,False,False,False,False,True,False,False,77
WALLACE,"Okay, like I say, this is open discussion.",,,"okay, i say, this is open discussion.",False,False,False,False,False,False,False,False,False,False,False,7
TRUMP,This is big stuff.,,,this is big stuff.,False,False,False,False,False,False,False,False,False,False,False,4
WALLACE,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",,,"sir, you ll be happy. i m about to pick up on one of your points to ask the vice president, which is, he points out that you would to add a public option to obamacare.",False,False,False,True,False,False,False,False,False,False,False,36
BIDEN,Yes.,,,yes.,False,False,False,False,False,False,False,False,False,False,False,1
WALLACE,And the argument that he makes and other Republicans make is that that is going to end private insurance.,,,and the argument that he makes and other republicans make is that that is going to end private insurance.,False,False,False,True,False,False,False,False,False,False,False,19
BIDEN,It is not.,,,it is not.,False,False,False,False,False,False,False,False,False,False,False,3
WALLACE,If I start asking the question.,,,if i start asking the question.,False,False,False,False,False,False,False,False,False,False,True,6
TRUMP,"That’s not what your party says, by the way.",,,"that s not what your party says, by the way.",False,False,True,False,False,True,False,False,False,False,False,10
WALLACE,And it will end private insurance and create a government takeover of healthcare.,,,and it will end private insurance and create a government takeover of healthcare.,False,False,False,False,False,False,False,False,False,False,False,13
BIDEN,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",,,"it does not. it s only for those people who are so poor they qualify for medicaid they can get that free in most states, except governors who want to deny people who are poor medicaid. anyone who qualifies for medicaid would automatically be enrolled in the public option. the vast majority of the american people would still not be in that option. number one. number two.",False,False,True,True,False,True,False,False,True,False,False,67
TRUMP,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine.",,,"joe, you agreed with bernie sanders, who s far left, on the manifesto, we call it. and that gives you socialized medicine.",False,False,False,True,False,False,False,False,True,False,False,22
BIDEN,"Look, hey.",,,"look, hey.",False,False,False,False,False,False,False,False,False,False,False,2
TRUMP,Are you saying you didn’t agree?,,,are you saying you didn t agree?,True,False,False,True,False,False,False,False,False,False,False,7
BIDEN,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.,,,i m not going to listen to him. the fact of the matter is i beat bernie sanders.,False,False,True,False,False,True,False,False,False,False,False,18
TRUMP,Not by much.,,,not by much.,False,False,True,False,False,True,False,False,False,False,False,3
BIDEN,I beat him by a whole hell of a lot.,,,i beat him by a whole hell of a lot.,False,False,False,True,False,False,False,False,False,False,False,10
TRUMP,Not by much.,,,not by much.,False,False,True,False,False,True,False,False,False,False,False,3
BIDEN,"I’m here standing facing you, old buddy.",,,"i m here standing facing you, old buddy.",False,False,False,False,False,False,False,False,False,False,False,8
TRUMP,If Pocahontas would have left two days early you would have lost every primary.,,,if pocahontas would have left two days early you would have lost every primary.,False,False,False,True,False,False,False,False,False,False,True,14
BIDEN,All he knows how to do-,,,all he knows how to do-,False,False,False,True,False,False,False,False,False,False,False,6
TRUMP,"On Super Tuesday, you got very lucky.",,,"on super tuesday, you got very lucky.",False,False,False,True,False,False,False,False,False,True,False,7
BIDEN,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.,,,look he s the deal. i got very lucky. i m going to get very lucky tonight as well.,False,False,False,True,False,False,False,False,False,True,False,19
TRUMP,With what?,,,with what?,True,False,False,False,False,False,False,False,False,False,False,2
BIDEN,And tonight I’m going to make sure.,,,and tonight i m going to make sure.,False,False,False,False,False,False,False,False,False,False,False,8
TRUMP,With what?,,,with what?,True,False,False,False,False,False,False,False,False,False,False,2
BIDEN,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.",,,"because here s the deal, here s the deal. the fact is that everything he s saying so far is simply a lie. i m not here to call out his lies. everybody knows he s a liar.",False,False,True,True,False,True,False,False,False,False,False,38
TRUMP,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class.",,,"but you agree. joe, you re the liar. you graduated last in your class not first in your class.",False,False,True,True,False,True,False,False,False,False,False,19
BIDEN,"God, I want to make sure-",,,"god, i want to make sure-",False,False,False,False,False,False,False,False,False,False,False,6
WALLACE,"Mr. President, can you let him finish, sir?",,,"mr. president, can you let him finish, sir?",True,False,False,True,False,False,False,False,False,False,False,8
BIDEN,"No, he doesn’t know how to do that.",,,"no, he doesn t know how to do that.",False,False,False,True,False,False,False,False,False,False,False,9
TRUMP,"You’d be surprised. You’d be surprised. Go ahead, Joe.",,,"you d be surprised. you d be surprised. go ahead, joe.",False,False,False,True,False,False,False,False,False,False,False,11
BIDEN,"The wrong guy, the wrong night, at the wrong time.",,,"the wrong guy, the wrong night, at the wrong time.",False,False,False,False,False,True,False,False,False,False,False,10
TRUMP,"Listen, you agreed with Bernie Sanders and the manifesto.",,,"listen, you agreed with bernie sanders and the manifesto.",False,False,False,True,False,False,False,False,False,False,False,9
BIDEN,"There is no manifesto, number one.",,,"there is no manifesto, number one.",False,False,True,False,False,True,False,False,False,False,False,6
WALLACE,"Please let him speak, Mr. President.",,,"please let him speak, mr. president.",False,False,False,True,False,False,False,False,False,False,False,6
BIDEN,Number two.,,,number two.,False,False,False,False,False,False,False,False,False,False,False,2
TRUMP,He just lost the left.,,,he just lost the left.,False,False,False,True,False,False,False,False,False,False,False,5
BIDEN,Number two.,,,number two.,False,False,False,False,False,False,False,False,False,False,False,2
TRUMP,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk], they call it socialized medicine.",,,"you just lost the left. you agreed with bernie sanders on a plan that you absolutely agreed to and under that plan [crosstalk], they call it socialized medicine.",False,False,False,True,True,False,False,False,True,True,False,28
WALLACE,Mr. President.,,,mr. president.,False,False,False,False,False,False,False,False,False,False,False,2
BIDEN,"I’ll tell you what, he is not for any help for people needing healthcare.",,,"i ll tell you what, he is not for any help for people needing healthcare.",False,False,True,True,False,True,False,False,False,False,False,15
TRUMP,"Who is, Bernie?",,,"who is, bernie?",True,False,False,False,False,False,False,False,False,False,False,3
BIDEN,"Because he, in fact, already has cost 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.",,,"because he, in fact, already has cost 10 million people their healthcare that they had from their employers because of his recession. number one. number two, there are 20 million people getting healthcare through obamacare now that he wants to take it away. he won t ever look you in the eye and say that s what he wants to do. take it away.",False,False,False,True,False,False,False,False,True,False,False,64
TRUMP,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",,,"no, i want to give them better healthcare at a much lower price, because obamacare is no good.",False,False,True,False,False,True,False,False,True,False,False,18
BIDEN,He doesn’t know how. He doesn’t know how to do that.,,,he doesn t know how. he doesn t know how to do that.,False,False,False,True,False,False,False,False,False,False,False,13
TRUMP,I’ve already fixed it.,,,i ve already fixed it.,False,False,False,False,False,False,False,False,False,False,False,5
BIDEN,He has never offered a plan.,,,he has never offered a plan.,False,False,True,True,False,True,False,False,False,False,False,6
TRUMP,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good.",,,"we ve already fixed it to an extent. obamacare, as you might know but probably don t, obamacare is no good.",False,False,True,True,False,True,False,False,True,False,False,21
WALLACE,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir.",,,"gentlemen, you realize if you re both speaking at the same time. let the president. go ahead, sir.",False,False,False,True,False,False,False,False,False,False,True,18
TRUMP,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.",,,"obamacare is no good. we made it better and i had a choice to make very early on. we took away the individual mandate. we guaranteed pre-existing conditions, but took away the individual mandate. listen, this is the way it is. and that destroyed they shouldn t even call it obamacare, then i had a choice to make, do i let my people run it really well or badly? if i run it badly, they ll probably blame him, but they ll blame me. but more importantly, i want to help people. okay. i said, you ve got to run it so well. and i just had a meeting with them. they said the problem is, no matter how well you run obamacare, it s a disaster. it s too expensive. premiums are too high, that it doesn t work. so we do want to get rid of it. chris, we want to get rid of that and give something that s cheaper and better.",False,False,True,True,False,True,False,False,True,True,True,165
WALLACE,"I understand that, sir. But I have to give you roughly equal time.",,,"i understand that, sir. but i have to give you roughly equal time.",False,False,False,True,False,False,False,False,False,False,False,13
TRUMP,Go ahead.,,,go ahead.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"Please let the Vice President talk, sir.",,,"please let the vice president talk, sir.",False,False,False,False,False,False,False,False,False,False,False,7
TRUMP,Good.,,,good.,False,False,False,False,False,False,False,False,False,False,False,1
BIDEN,He has no plan for healthcare.,,,he has no plan for healthcare.,False,False,True,True,False,True,False,False,False,False,False,6
TRUMP,"Of course, we do.",,,"of course, we do.",False,False,False,False,False,False,False,False,True,False,False,4
WALLACE,Please.,,,please.,False,False,False,False,False,False,False,False,False,False,False,1
BIDEN,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about.",,,"he sends out wishful thinking. he has executive orders that have no power. he hasn t lowered drug costs for anybody. he s been promising a healthcare plan since he got elected. he has none, almost everything else he talks about. he does not have a plan. he doesn t have a plan. and the fact is this man doesn t know what he s talking about.",False,False,True,True,False,True,False,False,False,False,False,67
WALLACE,"All right, I have one final question for you.",,,"all right, i have one final question for you.",False,False,False,False,False,False,False,False,False,False,False,9
BIDEN,Sure.,,,sure.,False,False,False,False,False,False,False,False,False,False,False,1
WALLACE,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American people tonight whether or not you will support either ending the filibuster or packing the court?",,,"mr. vice president, if senate republicans, we were talking originally about the supreme court here, if senate republicans go ahead and confirm justice barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. you call this a distraction by the president. but, in fact, it wasn t brought up by the president. it was brought up by some of your democratic colleagues in the congress. so my question to you is, you have refused in the past to talk about it, are you willing to tell the american people tonight whether or not you will support either ending the filibuster or packing the court?",True,False,True,True,False,True,False,False,True,False,True,114
